2020-08-26 07:10 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1354959371, 'FromNickName': '恋舞梦', 'Content': '{"GroupPic":[{"FileId":2416670251,"FileMd5":"uorpoxjcoeso6QRWZUAXIQ==","FileSize":9598,"ForwordBuf":"EiRCQThBRTlBMzE4RENBMUVCMjhFOTA0NTY2NTQwMTcyMS5naWYyVhU2IDg2ZUExQjkwMGI3NjJiYjcwM2ViYmMgICAgICA1MGZzQ0Vja3c3U3hxOEZCZHRCQThBRTlBMzE4RENBMUVCMjhFOTA0NTY2NTQwMTcyMS5naWZBOKvsrYAJQLzXj7gLSFBQQloQZnNDRWNrdzdTeHE4RkJkdGABahC6iumjGNyh6yjpBFZlQBchclsvZ2NoYXRwaWNfbmV3LzEzNTQ5NTkzNzEvOTI4MzA4OTYxLTI0MTY2NzAyNTEtQkE4QUU5QTMxOERDQTFFQjI4RTkwNDU2NjU0MDE3MjEvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8xMzU0OTU5MzcxLzkyODMwODk2MS0yNDE2NjcwMjUxLUJBOEFFOUEzMThEQ0ExRUIyOEU5MDQ1NjY1NDAxNzIxLzA/dGVybT0yNTWgAdAPsAFAuAFAwAFnyAH+StABANgBQOABQOgBAPABAPoBWy9nY2hhdHBpY19uZXcvMTM1NDk1OTM3MS85MjgzMDg5NjEtMjQxNjY3MDI1MS1CQThBRTlBMzE4RENBMUVCMjhFOTA0NTY2NTQwMTcyMS80MDA/dGVybT0yNTWAAkCIAkCSAhwIARAAGAAyAEoOW+WKqOeUu+ihqOaDhV1QAHgF","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/1354959371/928308961-2534335053-BA8AE9A318DCA1EB28E9045665401721/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598451048, 'MsgSeq': 525299, 'MsgRandom': 2020060653, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1354959371, 'FromNickName': '恋舞梦', 'Content': '我连第3都打不过', 'MsgType': 'TextMsg', 'MsgTime': 1598451066, 'MsgSeq': 525300, 'MsgRandom': 1045035426, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1354959371, 'FromNickName': '恋舞梦', 'Content': '{"GroupPic":[{"FileId":2530514203,"FileMd5":"+fGPchh5Xtx0M476DChqAw==","FileSize":5949,"ForwordBuf":"EiRGOUYxOEY3MjE4Nzk1RURDNzQzMzhFRkEwQzI4NkEwMy5qcGcyVhU2IDg2ZUExQjk2ZDQ5NTFiYjcwM2UxM2EgICAgICA1MGZzQ0Vja3c3U3hxOEZCZHRGOUYxOEY3MjE4Nzk1RURDNzQzMzhFRkEwQzI4NkEwMy5qcGdBOJuq0rYJQLrCj7gLSFBQQloQZnNDRWNrdzdTeHE4RkJkdGABahD58Y9yGHle3HQzjvoMKGoDclsvZ2NoYXRwaWNfbmV3LzEzNTQ5NTkzNzEvOTI4MzA4OTYxLTI1MzA1MTQyMDMtRjlGMThGNzIxODc5NUVEQzc0MzM4RUZBMEMyODZBMDMvMTk4P3Rlcm09MjU1ggFZL2djaGF0cGljX25ldy8xMzU0OTU5MzcxLzkyODMwODk2MS0yNTMwNTE0MjAzLUY5RjE4RjcyMTg3OTVFREM3NDMzOEVGQTBDMjg2QTAzLzA/dGVybT0yNTWgAegHsAHGAbgBxgHAAWfIAb0u0AEA2AHGAeABxgHoAQDwAQD6AVsvZ2NoYXRwaWNfbmV3LzEzNTQ5NTkzNzEvOTI4MzA4OTYxLTI1MzA1MTQyMDMtRjlGMThGNzIxODc5NUVEQzc0MzM4RUZBMEMyODZBMDMvNDAwP3Rlcm09MjU1gALGAYgCxgGSAhoIARAAMgBKDlvliqjnlLvooajmg4VdUAB4BQ==","ForwordField":8,"Url":"http://gchat.qpic.cn/gchatpic_new/1354959371/928308961-2534335053-F9F18F7218795EDC74338EFA0C286A03/0?vuin=845324058\\u0026term=255\\u0026pictype=0"}],"Tips":"[群图片]"}', 'MsgType': 'PicMsg', 'MsgTime': 1598451069, 'MsgSeq': 525301, 'MsgRandom': 1009555599, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '雪碧发了个鸭子37888', 'MsgType': 'TextMsg', 'MsgTime': 1598451073, 'MsgSeq': 525302, 'MsgRandom': 389307752, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 2450459910, 'FromNickName': '凤飞翱翔兮丷', 'Content': '赞我', 'MsgType': 'TextMsg', 'MsgTime': 1598451077, 'MsgSeq': 5732, 'MsgRandom': 2102000061, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '后面没看到了', 'MsgType': 'TextMsg', 'MsgTime': 1598451077, 'MsgSeq': 525303, 'MsgRandom': 942810418, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 959562190, 'FromGroupName': '测试群', 'FromUserId': 845324058, 'FromNickName': '凤飞翱翔兮丷🤖', 'Content': '{"Content":"@凤飞翱翔兮丷 正在赞~~请稍等，大概花费50s左右","UserID":[2450459910]}', 'MsgType': 'AtMsg', 'MsgTime': 1598451077, 'MsgSeq': 5733, 'MsgRandom': 1598451077, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 1354959371, 'FromNickName': '恋舞梦', 'Content': '那个火一下就把我烧死了', 'MsgType': 'TextMsg', 'MsgTime': 1598451084, 'MsgSeq': 525304, 'MsgRandom': 1879808346, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2330915491, 'FromNickName': '夜', 'Content': 'da来陪我睡觉嘛', 'MsgType': 'TextMsg', 'MsgTime': 1598451092, 'MsgSeq': 525305, 'MsgRandom': 1344900145, 'RedBaginfo': None}
2020-08-26 07:11 INFO	GroupMsg ->  {'FromGroupId': 928308961, 'FromGroupName': '大 洗 女 子 学 园', 'FromUserId': 2741292486, 'FromNickName': 'da', 'Content': '爪巴', 'MsgType': 'TextMsg', 'MsgTime': 1598451108, 'MsgSeq': 525306, 'MsgRandom': 1437203917, 'RedBaginfo': None}
